output
HIT te0 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)) ; log prior = -3.258136 ; log likelihood = 0.000000
HIT te100 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -4.052004 ; log likelihood = 0.000000
HIT te101 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0)) ; log prior = -4.839643 ; log likelihood = 0.000000
HIT te102 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) ; log prior = -10.256179 ; log likelihood = 0.000000
HIT te103 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) $0)) ; log prior = -4.258652 ; log likelihood = 0.000000
HIT te104 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) ; log prior = -6.847168 ; log likelihood = 0.000000
HIT te105 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -4.063784 ; log likelihood = 0.000000
HIT te106 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) $0)) ; log prior = -4.257493 ; log likelihood = 0.000000
MISS te107
HIT te108 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) ; log prior = -7.585269 ; log likelihood = 0.000000
HIT te109 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) $0)) ; log prior = -4.261573 ; log likelihood = 0.000000
HIT te110 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.578450 ; log likelihood = 0.000000
HIT te111 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) $0)) ; log prior = -4.103852 ; log likelihood = 0.000000
HIT te112 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.567888 ; log likelihood = 0.000000
HIT te113 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0)))) $0)) ; log prior = -4.443681 ; log likelihood = 0.000000
HIT te114 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0))) ; log prior = -7.681101 ; log likelihood = 0.000000
HIT te115 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0)))) $0)) ; log prior = -4.434923 ; log likelihood = 0.000000
HIT te116 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.947833 ; log likelihood = 0.000000
MISS te117
MISS te118
HIT te119 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0)) ; log prior = -4.842190 ; log likelihood = 0.000000
HIT te120 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))))) $0)) ; log prior = -4.407833 ; log likelihood = 0.000000
MISS te121
HIT te122 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) $0)) ; log prior = -4.583782 ; log likelihood = 0.000000
HIT te123 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))))) $0)) ; log prior = -4.409277 ; log likelihood = 0.000000
HIT te124 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) $0)))) $0))) ; log prior = -6.870336 ; log likelihood = 0.000000
HIT te125 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) ; log prior = -6.848684 ; log likelihood = 0.000000
MISS te126
HIT te127 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_mult $0 mathDomain_5)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) ; log prior = -9.065795 ; log likelihood = 0.000000
HIT te128 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) ; log prior = -7.566218 ; log likelihood = 0.000000
HIT te129 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) $0)) ; log prior = -4.270414 ; log likelihood = 0.000000
HIT te130 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))))) $0)))) ; log prior = -11.402427 ; log likelihood = 0.000000
MISS te131
HIT te132 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) $0))) ; log prior = -7.694226 ; log likelihood = 0.000000
HIT te133 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -4.068473 ; log likelihood = 0.000000
HIT te134 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))))) $0)) ; log prior = -4.407368 ; log likelihood = 0.000000
HIT te135 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) $0))) ; log prior = -7.674598 ; log likelihood = 0.000000
HIT te136 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.575860 ; log likelihood = 0.000000
HIT te137 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0)) ; log prior = -4.840616 ; log likelihood = 0.000000
HIT te138 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.573995 ; log likelihood = 0.000000
MISS te139
MISS te140
MISS te141
MISS te142
MISS te143
HIT te144 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.577541 ; log likelihood = 0.000000
HIT te145 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) $0)))) $0)) ; log prior = -4.251938 ; log likelihood = 0.000000
MISS te146
MISS te147
MISS te148
